Delivery Date,Delivery Hour,Settlement Point,Settlement Point Price
01/02/2022,21,HB_NORTH,62.24
01/02/2022,21,HB_SOUTH,61.11
01/02/2022,21,HB_WEST,62.53
01/02/2022,22,HB_HOUSTON,48.02
01/02/2022,22,HB_NORTH,48.31
01/02/2022,22,HB_SOUTH,47.82
01/02/2022,22,HB_WEST,48.49
01/02/2022,23,HB_HOUSTON,39.24
01/02/2022,23,HB_NORTH,39.26
01/02/2022,23,HB_SOUTH,38.94
01/02/2022,23,HB_WEST,39.36
01/02/2022,24,HB_HOUSTON,36.78
01/02/2022,24,HB_NORTH,36.75
01/02/2022,24,HB_SOUTH,36.72
01/02/2022,24,HB_WEST,36.86
01/03/2022,1,HB_HOUSTON,30.84
01/03/2022,1,HB_NORTH,31.01
01/03/2022,1,HB_SOUTH,31.04
01/03/2022,1,HB_WEST,31.12
01/03/2022,2,HB_HOUSTON,30.36
01/03/2022,2,HB_NORTH,30.45
01/03/2022,2,HB_SOUTH,30.52
01/03/2022,2,HB_WEST,30.54
01/03/2022,3,HB_HOUSTON,29.95
01/03/2022,3,HB_NORTH,30.03
01/03/2022,3,HB_SOUTH,30.09
01/03/2022,3,HB_WEST,30.12
01/03/2022,4,HB_HOUSTON,29.6
01/03/2022,4,HB_NORTH,29.65
01/03/2022,4,HB_SOUTH,29.73
01/03/2022,4,HB_WEST,29.73
01/03/2022,5,HB_HOUSTON,30.5
01/03/2022,5,HB_NORTH,31.03
01/03/2022,5,HB_SOUTH,30.85
01/03/2022,5,HB_WEST,31.16
01/03/2022,6,HB_HOUSTON,38.01
01/03/2022,6,HB_NORTH,40.43
01/03/2022,6,HB_SOUTH,38.84
01/03/2022,6,HB_WEST,39.82
01/03/2022,7,HB_HOUSTON,91.4
01/03/2022,7,HB_NORTH,96.58
01/03/2022,7,HB_SOUTH,93.91
01/03/2022,7,HB_WEST,95.4
01/03/2022,8,HB_HOUSTON,99.07
01/03/2022,8,HB_NORTH,101.16
01/03/2022,8,HB_SOUTH,100.01
01/03/2022,8,HB_WEST,100.24
01/03/2022,9,HB_HOUSTON,47.58
01/03/2022,9,HB_NORTH,47.62
01/03/2022,9,HB_SOUTH,46.56
01/03/2022,9,HB_WEST,47.27
01/03/2022,10,HB_HOUSTON,35.27
01/03/2022,10,HB_NORTH,34.68
01/03/2022,10,HB_SOUTH,33.95
01/03/2022,10,HB_WEST,31.1
01/03/2022,11,HB_HOUSTON,29.96
01/03/2022,11,HB_NORTH,29.38
01/03/2022,11,HB_SOUTH,29.01
01/03/2022,11,HB_WEST,27.06
01/03/2022,12,HB_HOUSTON,28.13
01/03/2022,12,HB_NORTH,27.53
01/03/2022,12,HB_SOUTH,27.23
01/03/2022,12,HB_WEST,24.8
01/03/2022,13,HB_HOUSTON,27.08
01/03/2022,13,HB_NORTH,26.67
01/03/2022,13,HB_SOUTH,26.95
01/03/2022,13,HB_WEST,24.99
01/03/2022,14,HB_HOUSTON,25.46
01/03/2022,14,HB_NORTH,25.13
01/03/2022,14,HB_SOUTH,25.76
01/03/2022,14,HB_WEST,23.01
01/03/2022,15,HB_HOUSTON,24.6
01/03/2022,15,HB_NORTH,24.17
01/03/2022,15,HB_SOUTH,25.24
01/03/2022,15,HB_WEST,21.78
01/03/2022,16,HB_HOUSTON,23.54
01/03/2022,16,HB_NORTH,23.2
01/03/2022,16,HB_SOUTH,24.03
01/03/2022,16,HB_WEST,20.79
01/03/2022,17,HB_HOUSTON,26.77
01/03/2022,17,HB_NORTH,26.79
01/03/2022,17,HB_SOUTH,27.4
01/03/2022,17,HB_WEST,24.83
01/03/2022,18,HB_HOUSTON,47.25
01/03/2022,18,HB_NORTH,47.05
01/03/2022,18,HB_SOUTH,47.25
01/03/2022,18,HB_WEST,46.45
01/03/2022,19,HB_HOUSTON,36
01/03/2022,19,HB_NORTH,35.37
01/03/2022,19,HB_SOUTH,35.16
01/03/2022,19,HB_WEST,32.42
01/03/2022,20,HB_HOUSTON,31.6
01/03/2022,20,HB_NORTH,30.99
01/03/2022,20,HB_SOUTH,30.83
01/03/2022,20,HB_WEST,27.32
01/03/2022,21,HB_HOUSTON,32.08
01/03/2022,21,HB_NORTH,30.81
01/03/2022,21,HB_SOUTH,30.37
01/03/2022,21,HB_WEST,20.03
01/03/2022,22,HB_HOUSTON,30.47
01/03/2022,22,HB_NORTH,29.05
01/03/2022,22,HB_SOUTH,28.6
01/03/2022,22,HB_WEST,13.73
01/03/2022,23,HB_HOUSTON,28.49
01/03/2022,23,HB_NORTH,27.02
01/03/2022,23,HB_SOUTH,26.47
01/03/2022,23,HB_WEST,14.34
01/03/2022,24,HB_HOUSTON,25.85
01/03/2022,24,HB_NORTH,24.4
01/03/2022,24,HB_SOUTH,24.1
01/03/2022,24,HB_WEST,13.49
01/04/2022,1,HB_HOUSTON,20.46
01/04/2022,1,HB_NORTH,19.48
