Delivery Date,Delivery Hour,Delivery Interval,Settlement Point,Settlement Point Price
01/01/2022,15,4,HB_SOUTH,28.56
01/01/2022,15,1,HB_WEST,0.42
01/01/2022,15,2,HB_WEST,0.61
01/01/2022,15,3,HB_WEST,0.87
01/01/2022,15,4,HB_WEST,0.57
01/01/2022,16,1,HB_HOUSTON,26.87
01/01/2022,16,2,HB_HOUSTON,27.3
01/01/2022,16,3,HB_HOUSTON,31.64
01/01/2022,16,4,HB_HOUSTON,23.85
01/01/2022,16,1,HB_NORTH,23.56
01/01/2022,16,2,HB_NORTH,24.12
01/01/2022,16,3,HB_NORTH,27.51
01/01/2022,16,4,HB_NORTH,22.94
01/01/2022,16,1,HB_SOUTH,31.41
01/01/2022,16,2,HB_SOUTH,31.73
01/01/2022,16,3,HB_SOUTH,37.32
01/01/2022,16,4,HB_SOUTH,24.52
01/01/2022,16,1,HB_WEST,0.73
01/01/2022,16,2,HB_WEST,1.06
01/01/2022,16,3,HB_WEST,0.54
01/01/2022,16,4,HB_WEST,0.2
01/01/2022,17,1,HB_HOUSTON,24.11
01/01/2022,17,2,HB_HOUSTON,24.39
01/01/2022,17,3,HB_HOUSTON,26.26
01/01/2022,17,4,HB_HOUSTON,26.22
01/01/2022,17,1,HB_NORTH,22.13
01/01/2022,17,2,HB_NORTH,22.15
01/01/2022,17,3,HB_NORTH,22.04
01/01/2022,17,4,HB_NORTH,19.65
01/01/2022,17,1,HB_SOUTH,25.88
01/01/2022,17,2,HB_SOUTH,26.42
01/01/2022,17,3,HB_SOUTH,31.77
01/01/2022,17,4,HB_SOUTH,34.71
01/01/2022,17,1,HB_WEST,0.47
01/01/2022,17,2,HB_WEST,0.36
01/01/2022,17,3,HB_WEST,-0.01
01/01/2022,17,4,HB_WEST,-0.86
01/01/2022,18,1,HB_HOUSTON,27.18
01/01/2022,18,2,HB_HOUSTON,24.06
01/01/2022,18,3,HB_HOUSTON,24.14
01/01/2022,18,4,HB_HOUSTON,24.19
01/01/2022,18,1,HB_NORTH,21.09
01/01/2022,18,2,HB_NORTH,21.9
01/01/2022,18,3,HB_NORTH,22.18
01/01/2022,18,4,HB_NORTH,22.51
01/01/2022,18,1,HB_SOUTH,35.33
01/01/2022,18,2,HB_SOUTH,26.01
01/01/2022,18,3,HB_SOUTH,25.88
01/01/2022,18,4,HB_SOUTH,25.62
01/01/2022,18,1,HB_WEST,-0.8
01/01/2022,18,2,HB_WEST,-0.57
01/01/2022,18,3,HB_WEST,-0.58
01/01/2022,18,4,HB_WEST,-1.15
01/01/2022,19,1,HB_HOUSTON,23.68
01/01/2022,19,2,HB_HOUSTON,23.59
01/01/2022,19,3,HB_HOUSTON,23.49
01/01/2022,19,4,HB_HOUSTON,23.25
01/01/2022,19,1,HB_NORTH,22.55
